schemaname,tablename,indexname,indexdef
auth,mfa_factors,mfa_factors_user_friendly_name_unique,"CREATE UNIQUE INDEX mfa_factors_user_friendly_name_unique ON auth.mfa_factors USING btree (friendly_name, user_id) WHERE (TRIM(BOTH FROM friendly_name) <> ''::text)"
auth,mfa_factors,mfa_factors_user_id_idx,CREATE INDEX mfa_factors_user_id_idx ON auth.mfa_factors USING btree (user_id)
auth,mfa_factors,unique_phone_factor_per_user,"CREATE UNIQUE INDEX unique_phone_factor_per_user ON auth.mfa_factors USING btree (user_id, phone)"
auth,oauth_authorizations,oauth_auth_pending_exp_idx,CREATE INDEX oauth_auth_pending_exp_idx ON auth.oauth_authorizations USING btree (expires_at) WHERE (status = 'pending'::auth.oauth_authorization_status)
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,CREATE UNIQUE INDEX oauth_authorizations_authorization_code_key ON auth.oauth_authorizations USING btree (authorization_code)
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,CREATE UNIQUE INDEX oauth_authorizations_authorization_id_key ON auth.oauth_authorizations USING btree (authorization_id)
auth,oauth_authorizations,oauth_authorizations_pkey,CREATE UNIQUE INDEX oauth_authorizations_pkey ON auth.oauth_authorizations USING btree (id)
auth,oauth_client_states,idx_oauth_client_states_created_at,CREATE INDEX idx_oauth_client_states_created_at ON auth.oauth_client_states USING btree (created_at)
auth,oauth_client_states,oauth_client_states_pkey,CREATE UNIQUE INDEX oauth_client_states_pkey ON auth.oauth_client_states USING btree (id)
auth,oauth_clients,oauth_clients_deleted_at_idx,CREATE INDEX oauth_clients_deleted_at_idx ON auth.oauth_clients USING btree (deleted_at)
auth,oauth_clients,oauth_clients_pkey,CREATE UNIQUE INDEX oauth_clients_pkey ON auth.oauth_clients USING btree (id)
auth,oauth_consents,oauth_consents_active_client_idx,CREATE INDEX oauth_consents_active_client_idx ON auth.oauth_consents USING btree (client_id) WHERE (revoked_at IS NULL)
auth,oauth_consents,oauth_consents_active_user_client_idx,"CREATE INDEX oauth_consents_active_user_client_idx ON auth.oauth_consents USING btree (user_id, client_id) WHERE (revoked_at IS NULL)"
auth,oauth_consents,oauth_consents_pkey,CREATE UNIQUE INDEX oauth_consents_pkey ON auth.oauth_consents USING btree (id)
auth,oauth_consents,oauth_consents_user_client_unique,"CREATE UNIQUE INDEX oauth_consents_user_client_unique ON auth.oauth_consents USING btree (user_id, client_id)"
auth,oauth_consents,oauth_consents_user_order_idx,"CREATE INDEX oauth_consents_user_order_idx ON auth.oauth_consents USING btree (user_id, granted_at DESC)"
auth,one_time_tokens,one_time_tokens_pkey,CREATE UNIQUE INDEX one_time_tokens_pkey ON auth.one_time_tokens USING btree (id)
auth,one_time_tokens,one_time_tokens_relates_to_hash_idx,CREATE INDEX one_time_tokens_relates_to_hash_idx ON auth.one_time_tokens USING hash (relates_to)
auth,one_time_tokens,one_time_tokens_token_hash_hash_idx,CREATE INDEX one_time_tokens_token_hash_hash_idx ON auth.one_time_tokens USING hash (token_hash)
auth,one_time_tokens,one_time_tokens_user_id_token_type_key,"CREATE UNIQUE INDEX one_time_tokens_user_id_token_type_key ON auth.one_time_tokens USING btree (user_id, token_type)"
auth,refresh_tokens,refresh_tokens_instance_id_idx,CREATE INDEX refresh_tokens_instance_id_idx ON auth.refresh_tokens USING btree (instance_id)
auth,refresh_tokens,refresh_tokens_instance_id_user_id_idx,"CREATE INDEX refresh_tokens_instance_id_user_id_idx ON auth.refresh_tokens USING btree (instance_id, user_id)"
auth,refresh_tokens,refresh_tokens_parent_idx,CREATE INDEX refresh_tokens_parent_idx ON auth.refresh_tokens USING btree (parent)
auth,refresh_tokens,refresh_tokens_pkey,CREATE UNIQUE INDEX refresh_tokens_pkey ON auth.refresh_tokens USING btree (id)
auth,refresh_tokens,refresh_tokens_session_id_revoked_idx,"CREATE INDEX refresh_tokens_session_id_revoked_idx ON auth.refresh_tokens USING btree (session_id, revoked)"
auth,refresh_tokens,refresh_tokens_token_unique,CREATE UNIQUE INDEX refresh_tokens_token_unique ON auth.refresh_tokens USING btree (token)
auth,refresh_tokens,refresh_tokens_updated_at_idx,CREATE INDEX refresh_tokens_updated_at_idx ON auth.refresh_tokens USING btree (updated_at DESC)
auth,saml_providers,saml_providers_entity_id_key,CREATE UNIQUE INDEX saml_providers_entity_id_key ON auth.saml_providers USING btree (entity_id)
auth,saml_providers,saml_providers_pkey,CREATE UNIQUE INDEX saml_providers_pkey ON auth.saml_providers USING btree (id)
auth,saml_providers,saml_providers_sso_provider_id_idx,CREATE INDEX saml_providers_sso_provider_id_idx ON auth.saml_providers USING btree (sso_provider_id)
auth,saml_relay_states,saml_relay_states_created_at_idx,CREATE INDEX saml_relay_states_created_at_idx ON auth.saml_relay_states USING btree (created_at DESC)
auth,saml_relay_states,saml_relay_states_for_email_idx,CREATE INDEX saml_relay_states_for_email_idx ON auth.saml_relay_states USING btree (for_email)
auth,saml_relay_states,saml_relay_states_pkey,CREATE UNIQUE INDEX saml_relay_states_pkey ON auth.saml_relay_states USING btree (id)
auth,saml_relay_states,saml_relay_states_sso_provider_id_idx,CREATE INDEX saml_relay_states_sso_provider_id_idx ON auth.saml_relay_states USING btree (sso_provider_id)
auth,schema_migrations,schema_migrations_pkey,CREATE UNIQUE INDEX schema_migrations_pkey ON auth.schema_migrations USING btree (version)
auth,sessions,sessions_not_after_idx,CREATE INDEX sessions_not_after_idx ON auth.sessions USING btree (not_after DESC)
auth,sessions,sessions_oauth_client_id_idx,CREATE INDEX sessions_oauth_client_id_idx ON auth.sessions USING btree (oauth_client_id)
auth,sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON auth.sessions USING btree (id)
auth,sessions,sessions_user_id_idx,CREATE INDEX sessions_user_id_idx ON auth.sessions USING btree (user_id)
auth,sessions,user_id_created_at_idx,"CREATE INDEX user_id_created_at_idx ON auth.sessions USING btree (user_id, created_at)"
auth,sso_domains,sso_domains_domain_idx,CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain))
auth,sso_domains,sso_domains_pkey,CREATE UNIQUE INDEX sso_domains_pkey ON auth.sso_domains USING btree (id)
auth,sso_domains,sso_domains_sso_provider_id_idx,CREATE INDEX sso_domains_sso_provider_id_idx ON auth.sso_domains USING btree (sso_provider_id)
auth,sso_providers,sso_providers_pkey,CREATE UNIQUE INDEX sso_providers_pkey ON auth.sso_providers USING btree (id)
auth,sso_providers,sso_providers_resource_id_idx,CREATE UNIQUE INDEX sso_providers_resource_id_idx ON auth.sso_providers USING btree (lower(resource_id))
auth,sso_providers,sso_providers_resource_id_pattern_idx,CREATE INDEX sso_providers_resource_id_pattern_idx ON auth.sso_providers USING btree (resource_id text_pattern_ops)
auth,users,confirmation_token_idx,CREATE UNIQUE INDEX confirmation_token_idx ON auth.users USING btree (confirmation_token) WHERE ((confirmation_token)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_current_idx,CREATE UNIQUE INDEX email_change_token_current_idx ON auth.users USING btree (email_change_token_current) WHERE ((email_change_token_current)::text !~ '^[0-9 ]*$'::text)
auth,users,email_change_token_new_idx,CREATE UNIQUE INDEX email_change_token_new_idx ON auth.users USING btree (email_change_token_new) WHERE ((email_change_token_new)::text !~ '^[0-9 ]*$'::text)
auth,users,idx_users_created_at_desc,CREATE INDEX idx_users_created_at_desc ON auth.users USING btree (created_at DESC)
auth,users,idx_users_email,CREATE INDEX idx_users_email ON auth.users USING btree (email)
auth,users,idx_users_last_sign_in_at_desc,CREATE INDEX idx_users_last_sign_in_at_desc ON auth.users USING btree (last_sign_in_at DESC)
auth,users,idx_users_name,CREATE INDEX idx_users_name ON auth.users USING btree (((raw_user_meta_data ->> 'name'::text))) WHERE ((raw_user_meta_data ->> 'name'::text) IS NOT NULL)
auth,users,reauthentication_token_idx,CREATE UNIQUE INDEX reauthentication_token_idx ON auth.users USING btree (reauthentication_token) WHERE ((reauthentication_token)::text !~ '^[0-9 ]*$'::text)
auth,users,recovery_token_idx,CREATE UNIQUE INDEX recovery_token_idx ON auth.users USING btree (recovery_token) WHERE ((recovery_token)::text !~ '^[0-9 ]*$'::text)
auth,users,users_email_partial_key,CREATE UNIQUE INDEX users_email_partial_key ON auth.users USING btree (email) WHERE (is_sso_user = false)
auth,users,users_instance_id_email_idx,"CREATE INDEX users_instance_id_email_idx ON auth.users USING btree (instance_id, lower((email)::text))"
auth,users,users_instance_id_idx,CREATE INDEX users_instance_id_idx ON auth.users USING btree (instance_id)
auth,users,users_is_anonymous_idx,CREATE INDEX users_is_anonymous_idx ON auth.users USING btree (is_anonymous)
auth,users,users_phone_key,CREATE UNIQUE INDEX users_phone_key ON auth.users USING btree (phone)
auth,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON auth.users USING btree (id)
auth,webauthn_challenges,webauthn_challenges_expires_at_idx,CREATE INDEX webauthn_challenges_expires_at_idx ON auth.webauthn_challenges USING btree (expires_at)
auth,webauthn_challenges,webauthn_challenges_pkey,CREATE UNIQUE INDEX webauthn_challenges_pkey ON auth.webauthn_challenges USING btree (id)
auth,webauthn_challenges,webauthn_challenges_user_id_idx,CREATE INDEX webauthn_challenges_user_id_idx ON auth.webauthn_challenges USING btree (user_id)
auth,webauthn_credentials,webauthn_credentials_credential_id_key,CREATE UNIQUE INDEX webauthn_credentials_credential_id_key ON auth.webauthn_credentials USING btree (credential_id)
auth,webauthn_credentials,webauthn_credentials_pkey,CREATE UNIQUE INDEX webauthn_credentials_pkey ON auth.webauthn_credentials USING btree (id)
auth,webauthn_credentials,webauthn_credentials_user_id_idx,CREATE INDEX webauthn_credentials_user_id_idx ON auth.webauthn_credentials USING btree (user_id)
public,app_demo_entitlements,app_demo_entitlements_device_app_uq,"CREATE UNIQUE INDEX app_demo_entitlements_device_app_uq ON public.app_demo_entitlements USING btree (device_code, app_code)"
public,app_demo_entitlements,app_demo_entitlements_fingerprint_app_uq,"CREATE UNIQUE INDEX app_demo_entitlements_fingerprint_app_uq ON public.app_demo_entitlements USING btree (device_fingerprint_hash, app_code) WHERE (device_fingerprint_hash IS NOT NULL)"
public,app_demo_entitlements,app_demo_entitlements_lookup_idx,"CREATE INDEX app_demo_entitlements_lookup_idx ON public.app_demo_entitlements USING btree (app_code, status, demo_expires_at)"
public,app_demo_entitlements,app_demo_entitlements_pkey,CREATE UNIQUE INDEX app_demo_entitlements_pkey ON public.app_demo_entitlements USING btree (id)
public,app_demo_entitlements,app_demo_entitlements_user_app_uq,"CREATE UNIQUE INDEX app_demo_entitlements_user_app_uq ON public.app_demo_entitlements USING btree (user_id, app_code)"
public,app_ratings,app_ratings_app_id_user_id_key,"CREATE UNIQUE INDEX app_ratings_app_id_user_id_key ON public.app_ratings USING btree (app_id, user_id)"
public,app_ratings,app_ratings_pkey,CREATE UNIQUE INDEX app_ratings_pkey ON public.app_ratings USING btree (id)
public,apps,apps_pkey,CREATE UNIQUE INDEX apps_pkey ON public.apps USING btree (id)
public,backups,backups_pkey,CREATE UNIQUE INDEX backups_pkey ON public.backups USING btree (id)
public,backups,backups_storage_path_key,CREATE UNIQUE INDEX backups_storage_path_key ON public.backups USING btree (storage_path)
public,backups,idx_backups_device_id,CREATE INDEX idx_backups_device_id ON public.backups USING btree (device_id)
public,backups,idx_backups_user_id_created_at,"CREATE INDEX idx_backups_user_id_created_at ON public.backups USING btree (user_id, created_at DESC)"
public,broadcasts,broadcasts_pkey,CREATE UNIQUE INDEX broadcasts_pkey ON public.broadcasts USING btree (id)
public,client_requests,client_requests_pkey,CREATE UNIQUE INDEX client_requests_pkey ON public.client_requests USING btree (id)
public,contact_info,contact_info_pkey,CREATE UNIQUE INDEX contact_info_pkey ON public.contact_info USING btree (id)
public,device_tokens,device_tokens_pkey,CREATE UNIQUE INDEX device_tokens_pkey ON public.device_tokens USING btree (user_id)
public,devices,devices_pkey,CREATE UNIQUE INDEX devices_pkey ON public.devices USING btree (id)
public,devices,idx_devices_user_id,CREATE INDEX idx_devices_user_id ON public.devices USING btree (user_id)
public,kl_demo_sessions,idx_demo_device,CREATE INDEX idx_demo_device ON public.kl_demo_sessions USING btree (device_code)
public,kl_demo_sessions,idx_demo_product,CREATE INDEX idx_demo_product ON public.kl_demo_sessions USING btree (product_id)
public,kl_demo_sessions,kl_demo_sessions_pkey,CREATE UNIQUE INDEX kl_demo_sessions_pkey ON public.kl_demo_sessions USING btree (id)
public,kl_demo_sessions,kl_demo_sessions_product_id_device_code_key,"CREATE UNIQUE INDEX kl_demo_sessions_product_id_device_code_key ON public.kl_demo_sessions USING btree (product_id, device_code)"
public,kl_licenses,idx_licenses_device,CREATE INDEX idx_licenses_device ON public.kl_licenses USING btree (device_code)
public,kl_licenses,idx_licenses_product,CREATE INDEX idx_licenses_product ON public.kl_licenses USING btree (product_id)
public,kl_licenses,kl_licenses_license_id_key,CREATE UNIQUE INDEX kl_licenses_license_id_key ON public.kl_licenses USING btree (license_id)
public,kl_licenses,kl_licenses_pkey,CREATE UNIQUE INDEX kl_licenses_pkey ON public.kl_licenses USING btree (id)
public,kl_products,kl_products_pkey,CREATE UNIQUE INDEX kl_products_pkey ON public.kl_products USING btree (id)
public,kl_products,kl_products_product_id_key,CREATE UNIQUE INDEX kl_products_product_id_key ON public.kl_products USING btree (product_id)
public,kl_revocations,kl_revocations_pkey,CREATE UNIQUE INDEX kl_revocations_pkey ON public.kl_revocations USING btree (id)
public,kl_revocations,kl_revocations_product_id_key,CREATE UNIQUE INDEX kl_revocations_product_id_key ON public.kl_revocations USING btree (product_id)
public,news,news_pkey,CREATE UNIQUE INDEX news_pkey ON public.news USING btree (id)
public,products,idx_products_slug,CREATE INDEX idx_products_slug ON public.products USING btree (slug)
public,products,idx_products_sort,"CREATE INDEX idx_products_sort ON public.products USING btree (sort_order, created_at)"
public,products,idx_products_status,CREATE INDEX idx_products_status ON public.products USING btree (status)
public,products,products_pkey,CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
public,products,products_slug_key,CREATE UNIQUE INDEX products_slug_key ON public.products USING btree (slug)
public,profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,shv_admin_cloud_backups,shv_admin_cloud_backups_pkey,CREATE UNIQUE INDEX shv_admin_cloud_backups_pkey ON public.shv_admin_cloud_backups USING btree (id)
public,shv_admin_emergency_vault,shv_admin_emergency_vault_pkey,CREATE UNIQUE INDEX shv_admin_emergency_vault_pkey ON public.shv_admin_emergency_vault USING btree (id)
public,site_downloads,site_downloads_code_key,CREATE UNIQUE INDEX site_downloads_code_key ON public.site_downloads USING btree (code)
public,site_downloads,site_downloads_pkey,CREATE UNIQUE INDEX site_downloads_pkey ON public.site_downloads USING btree (id)
public,site_settings,site_settings_pkey,CREATE UNIQUE INDEX site_settings_pkey ON public.site_settings USING btree (key)
public,store_config,store_config_pkey,CREATE UNIQUE INDEX store_config_pkey ON public.store_config USING btree (id)
public,upcoming_updates,upcoming_updates_pkey,CREATE UNIQUE INDEX upcoming_updates_pkey ON public.upcoming_updates USING btree (id)
realtime,messages,messages_inserted_at_topic_index,"CREATE INDEX messages_inserted_at_topic_index ON ONLY realtime.messages USING btree (inserted_at DESC, topic) WHERE ((extension = 'broadcast'::text) AND (private IS TRUE))"
realtime,messages,messages_pkey,"CREATE UNIQUE INDEX messages_pkey ON ONLY realtime.messages USING btree (id, inserted_at)"
realtime,schema_migrations,schema_migrations_pkey,CREATE UNIQUE INDEX schema_migrations_pkey ON realtime.schema_migrations USING btree (version)
realtime,subscription,ix_realtime_subscription_entity,CREATE INDEX ix_realtime_subscription_entity ON realtime.subscription USING btree (entity)
realtime,subscription,pk_subscription,CREATE UNIQUE INDEX pk_subscription ON realtime.subscription USING btree (id)
realtime,subscription,subscription_subscription_id_entity_filters_action_filter_selec,"CREATE UNIQUE INDEX subscription_subscription_id_entity_filters_action_filter_selec ON realtime.subscription USING btree (subscription_id, entity, filters, action_filter, COALESCE(selected_columns, '{}'::text[]))"
storage,buckets,bname,CREATE UNIQUE INDEX bname ON storage.buckets USING btree (name)
storage,buckets,buckets_pkey,CREATE UNIQUE INDEX buckets_pkey ON storage.buckets USING btree (id)
storage,buckets_analytics,buckets_analytics_pkey,CREATE UNIQUE INDEX buckets_analytics_pkey ON storage.buckets_analytics USING btree (id)
storage,buckets_analytics,buckets_analytics_unique_name_idx,CREATE UNIQUE INDEX buckets_analytics_unique_name_idx ON storage.buckets_analytics USING btree (name) WHERE (deleted_at IS NULL)
storage,buckets_vectors,buckets_vectors_pkey,CREATE UNIQUE INDEX buckets_vectors_pkey ON storage.buckets_vectors USING btree (id)
storage,migrations,migrations_name_key,CREATE UNIQUE INDEX migrations_name_key ON storage.migrations USING btree (name)
storage,migrations,migrations_pkey,CREATE UNIQUE INDEX migrations_pkey ON storage.migrations USING btree (id)
storage,objects,bucketid_objname,"CREATE UNIQUE INDEX bucketid_objname ON storage.objects USING btree (bucket_id, name)"
storage,objects,idx_objects_bucket_id_name,"CREATE INDEX idx_objects_bucket_id_name ON storage.objects USING btree (bucket_id, name COLLATE ""C"")"
storage,objects,idx_objects_bucket_id_name_lower,"CREATE INDEX idx_objects_bucket_id_name_lower ON storage.objects USING btree (bucket_id, lower(name) COLLATE ""C"")"
storage,objects,name_prefix_search,CREATE INDEX name_prefix_search ON storage.objects USING btree (name text_pattern_ops)
storage,objects,objects_pkey,CREATE UNIQUE INDEX objects_pkey ON storage.objects USING btree (id)
storage,s3_multipart_uploads,idx_multipart_uploads_list,"CREATE INDEX idx_multipart_uploads_list ON storage.s3_multipart_uploads USING btree (bucket_id, key, created_at)"
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,CREATE UNIQUE INDEX s3_multipart_uploads_pkey ON storage.s3_multipart_uploads USING btree (id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,CREATE UNIQUE INDEX s3_multipart_uploads_parts_pkey ON storage.s3_multipart_uploads_parts USING btree (id)
storage,vector_indexes,vector_indexes_name_bucket_id_idx,"CREATE UNIQUE INDEX vector_indexes_name_bucket_id_idx ON storage.vector_indexes USING btree (name, bucket_id)"
storage,vector_indexes,vector_indexes_pkey,CREATE UNIQUE INDEX vector_indexes_pkey ON storage.vector_indexes USING btree (id)
vault,secrets,secrets_name_idx,CREATE UNIQUE INDEX secrets_name_idx ON vault.secrets USING btree (name) WHERE (name IS NOT NULL)
vault,secrets,secrets_pkey,CREATE UNIQUE INDEX secrets_pkey ON vault.secrets USING btree (id)
